plant_as_reported,antiforaging_index,fungal_screen,antiforaging_dose,fungal_screen_dose,ant,fungus,source_id,original_url,locator,taxonomic_status
Baccharis linearifolia,0,+,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Trichocline reptans,0,+,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Argemone subfusiformis,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Capparis atamisquea,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Dysphania ambrosioides,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Croton lachnostachyus,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Eryngium horridum,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Acanthostyles buniifolius,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Chromolaena hookeriana,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Marrubium vulgare,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Microliabum candidum,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Prosopis alba var. alba,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Salvia cuspidata subsp. gilliesii,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Senecio madagascariensis,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Sphaeralcea cordobensis,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Tagetes minuta,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Viguiera tucumanensis,0,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Dolichandra unguis-cati,-5.3,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Flourensia campestris,-11,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Mandevilla pentlandiana,-11,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Thalictrum decipiens,-11,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Achyrocline tomentosa,-20,+,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Vernonia mollissima,-20,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Zanthoxylum coco,-25,++,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Solanum sisymbriifolium,-25,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Thelesperma megapotanicum,-25,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Elaphoglossum lorentzii,-33,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Lepechinia meyenii,-33,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Pyrostegia venusta,-41,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Pterocaulon alopecuroides,-45,+++,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Artemisia verlotiorum,-45,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Araujia brachystephana,-50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Condalia microphylla,-50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Cortaderia rudiuscula,-75,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Senna aphylla,-76,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Jarava ichu,-100,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
